t,Ypos,magslope,expected Yvel
65,[],[],[]
66,[],[],[]
67,[],[],[]
68,[],[],[]
69,[],[],[]
70,[],[],[]
71,[],[],[]
72,[],[],[]
73,[],[],[]
74,[],[],[]
75,[-9.88852684e+21],[2.0357907e-10],[9033813.935786078]
76,[-1.01639734e+22],[1.8561508e-10],[9158768.958886182]
77,[-1.0604688e+22],[1.6970819e-10],[9355226.145159315]
78,[-1.10454014e+22],[5.7625643e-10],[9547641.296131289]
79,[-8.84183037e+21 -7.35441937e+21],[5.8446181e-10 1.2384664e-09],"[8542331.72614098, 7790754.804387767]"
80,[-9.44781230e+21 -6.52808017e+21],[8.5093943e-10 2.4277955e-09],"[8830208.765346011, 7340033.858367734]"
81,[-5.59156234e+21 -4.04906258e+21],[5.0493210e-09 1.2073145e-10],"[6793157.884674463, 5780568.975266321]"
82,[-4.98558041e+21 -3.71852667e+21],[5.7085621e-09 1.3634095e-09],"[6414490.212728966, 5539397.428292139]"
83,[-4.04906229e+21],[4.5532405e-09],[5780568.774228512]
84,[-3.2227231e+21],[2.0246963e-08],[5156020.404993209]
